TrainingSet,mobley_1662128~mobley_7047032,[C*]C~[C*]C.[C*]Cl,2,0.15684603266790056
TrainingSet,mobley_1563176~mobley_5935995,[C*]S~[C*]C.[C*]C,2,0.11022069423588295
TrainingSet,mobley_1717215~mobley_3982371,~[C*]C,1,0.079037551397168
TrainingSet,mobley_9838013~mobley_8436428,[C*]O~[CH*]C.[CH*]C,2,0.07079577029926747
TrainingSet,mobley_9507933~mobley_63712,[C*]C.[C*]C~[N*]C,2,10.053514721344788
TrainingSet,mobley_1717215~mobley_8118832,[O*]CO~[C*]CC,1,0.050305738826300954
TrainingSet,mobley_1717215~mobley_5816127,[C*]O~[C*]CO,2,0.13929625162350925
TrainingSet,mobley_1017962~mobley_718988,[C*]O.[C*]OC~[C*]CN,4,0.14727377411155043
TrainingSet,mobley_4715906~mobley_2451097,[CH*]C~[C*]N,1,1.1671708101077314
TrainingSet,mobley_1019269~mobley_1792062,[C*]CCO~[C*]Br.[C*]Br,3,0.8850790756760889
TrainingSet,mobley_1563176~mobley_2422586,[C*]CS~[C*]OC,1,0.14647341522528923
TrainingSet,mobley_1019269~mobley_6973347,[C*]CC~[O*]C(C)O,3,0.05843436738718104
TrainingSet,mobley_1592519~mobley_3572203,[C*]C.[C*]O~[C*]O.[C*]C,2,0.1139152483741312
TrainingSet,mobley_1036761~mobley_3398536,[CH*]N~[C*]I,1,0.6576843570188805
TrainingSet,mobley_9671033~mobley_1235151,~[C*]CC,2,1.6195994218930527
TrainingSet,mobley_1017962~mobley_3269565,[C*]CCCC.[C*]O~[CH*]C,5,0.39136001795283065
TrainingSet,mobley_1199854~mobley_1977493,[C*]I~[C*]Cl,1,0.06304217626557637
TrainingSet,mobley_9257453~mobley_5072416,[C*]Cl.[C*]Cl~[O*]C.[C*]N,2,0.0
TrainingSet,mobley_1905088~mobley_1760914,[C*]Br~[C*]Cl,-1,0.1827782844247642
TrainingSet,mobley_1650157~mobley_303222,[C*]C.[C*]O~,2,0.45234567042269835
TrainingSet,mobley_9434451~mobley_3034976,[CH*]C.[CH*]Br~[C*]O.[C*]O,2,0.1800769925319719
TrainingSet,mobley_7227357~mobley_4177472,[CH*]O~[CH*]C.[CH*]C.[CH*]C,3,0.07968623908940509
TrainingSet,mobley_1662128~mobley_1563176,~[C*]S,1,0.18095927761211927
TrainingSet,mobley_1717215~mobley_1636752,[O*]CO~,2,0.1820775285771421
TrainingSet,mobley_1424265~mobley_8691603,[C*]C~[C*]O,1,0.05735966565244283
TrainingSet,mobley_1017962~mobley_1881249,[C*]CC.[C*]OC~[C*]C,4,0.1548794427559707
TrainingSet,mobley_9624458~mobley_3269565,[C*]Cl.[C*]Cl~[CH*]OC,1,0.0
TrainingSet,mobley_9838013~mobley_5346580,[C*]C~[C*]C.[C*]C,2,0.05042860902851814
TrainingSet,mobley_1977493~mobley_1903702,[C*]Cl~[CH*]C.[CH*]O,2,18.87265786881227
TrainingSet,mobley_1107178~mobley_2008055,[C*]I~,1,0.28953584828697804
TrainingSet,mobley_20524~mobley_7608462,[C*]O~[C*]Cl,1,0.16487672255094113
TrainingSet,mobley_929676~mobley_3573480,[C*]Br~[C*]O.[C*]C,2,0.06571673744407384
TrainingSet,mobley_1261349~mobley_7769613,[C*]C~[C*]Br,1,0.1159866666697512
TrainingSet,mobley_900088~mobley_2245668,[C*]C.[C*]C~[C*]O,2,0.11123792057864118
TrainingSet,mobley_20524~mobley_4883284,[C*]O~[C*]N,1,0.029737005421528448
TrainingSet,mobley_1563176~mobley_9121449,[C*]S~,1,0.20007664577071466
TrainingSet,mobley_6353617~mobley_1858644,[C*]C1CCCNC1~[C*]C1CCCCC1,1,0.07026692641863194
TrainingSet,mobley_951560~mobley_5220185,~[C*]CC,2,0.39886362423234323
TrainingSet,mobley_1903702~mobley_3867265,[C*]C~,1,0.1696271253646067
TrainingSet,mobley_9434451~mobley_3999471,[CH*]C.[CH*]Br~[CH*]Cl.[CH*]Cl,0,0.15772491432513477
TrainingSet,mobley_1662128~mobley_2178600,~[C*]CCl,2,1.4693012491716801
TrainingSet,mobley_9653690~mobley_349850,[C*]O.[CH*]C~[C*]O,2,0.33196371534969515
TrainingSet,mobley_1019269~mobley_1800170,[C*]CCO~[C*]S,3,0.2584343228246975
TrainingSet,mobley_1019269~mobley_7203421,~[C*]CC.[C*]N,3,0.7951109532783077
TrainingSet,mobley_1563176~mobley_5627459,[C*]CS~[CH*]CO,1,0.193284716182734
TrainingSet,mobley_1563176~mobley_9246215,[C*]S~[C*]C,1,0.5324754814995147
TrainingSet,mobley_1735893~mobley_2341732,[C*]C~[O*]C,1,0.1944772925499016
TrainingSet,mobley_3969312~mobley_1036761,[C*]CO~[CH*]N,2,0.1374272313404445
TrainingSet,mobley_1019269~mobley_2929847,~[CH*]C.[C*]O,2,0.06610966440513834
TrainingSet,mobley_1046331~mobley_7295828,[C*]O~,1,0.052508087500307964
TrainingSet,mobley_9838013~mobley_511661,[C*]C.[C*]O~,2,7.247240071627926
TrainingSet,mobley_9838013~mobley_9883303,[C*]O~[C*]C.[C*]C,2,0.05622373229359836
TrainingSet,mobley_1036761~mobley_2484519,[CH*]N~[C*]CCl,2,1.6550145826412042
TrainingSet,mobley_1760914~mobley_7608462,[C*]C~,1,0.0
TrainingSet,mobley_9434451~mobley_1563176,[CH*]Br~[C*]CS,0,0.17367613338182722
TrainingSet,mobley_1674094~mobley_2802855,[C*]CC~[C*]Br,0,0.08931380283058156
TrainingSet,mobley_9407874~mobley_7157427,[C*]O.[C*]C~[C*]Cl,2,7.437311111323401
TrainingSet,mobley_1019269~mobley_8427539,[C*]C~[C*]N,1,0.15188128299806986
TrainingSet,mobley_1019269~mobley_2146331,[C*]CCC~,3,0.0678849899708323
TrainingSet,mobley_1873346~mobley_7608462,[C*]C~[C*]Cl,1,0.23397380005645932
TrainingSet,mobley_1017962~mobley_5816127,[C*]CCCC.[C*]O~[C*]O,5,0.24475325023267833
TrainingSet,mobley_1881249~mobley_7142697,[C*]O~[C*]N,1,0.03845511510917636
TrainingSet,mobley_1963873~mobley_8011706,[C*]C~[N*]C,1,0.09342035536669686
TrainingSet,mobley_1662128~mobley_4639255,[C*]CC~[C*]O.[C*]O,3,0.057991479885410896
TrainingSet,mobley_1019269~mobley_7015518,[C*]CCC~[O*]C,3,1.0636284820230228
TrainingSet,mobley_9478823~mobley_5571660,[C*]C~[C*]N.[C*]C,2,0.09135516998533194
TrainingSet,mobley_1800170~mobley_6091882,[C*]S~,1,0.12998890589215664
TrainingSet,mobley_9733743~mobley_1650157,[C*]CN~[C*]C.[C*]O,3,0.993295214506364
TrainingSet,mobley_1017962~mobley_2245668,[C*]CCC.[C*]OC~[CH*]C,5,0.6702963201302838
TrainingSet,mobley_1017962~mobley_7142697,[C*]C(O)OC~[C*]N,4,0.06629416743605729
TrainingSet,mobley_9883303~mobley_8525830,[CH*]CC~[C*]I,2,0.11771379795607834
TrainingSet,mobley_1881249~mobley_9112978,[C*]O~,1,0.17921578050199646
TrainingSet,mobley_1650157~mobley_9121449,[C*]C.[C*]O~[C*]C,2,0.18999273735314212
TrainingSet,mobley_9913368~mobley_1967551,[C*]Cl.[C*]Cl~[C*]O,2,0.0
TrainingSet,mobley_4893032~mobley_9197172,[C*]N~[C*]CCC,3,0.06871500207069012
TrainingSet,mobley_9257453~mobley_4219614,[C*]O~[C*]Cl.[C*]Cl,2,0.0
TrainingSet,mobley_9913368~mobley_3370989,[C*]Cl.[C*]Cl~[CH*]F.[CH*]F,2,0.0
TrainingSet,mobley_1722522~mobley_6619554,~[C*]C,1,0.02240978241170583
